"id","opis","naziv","ekstenzija","url","binarni","dozvoljen"
145,"EDMICS 2000","image/vnd.fujixerox.edmics-rlc",".rlc","http://www.ietf.org/assignments/media-types/image/vnd.fujixerox.edmics-rlc","t","f"
146,"Efficient XML Interchange","application/exi",".exi","http://www.w3.org/TR/exi-best-practices/","t","f"
147,"EFI Proteus","application/vnd.proteus.magazine",".mgz","http://www.iana.org/assignments/media-types/application/vnd.proteus.magazine","t","f"
148,"Electronic Publication","application/epub+zip",".epub","http://en.wikipedia.org/wiki/EPUB","t","f"
149,"Email Message","message/rfc822",".eml","http://www.rfc-editor.org/info/rfc2822","t","f"
150,"Enliven Viewer","application/vnd.enliven",".nml","http://www.iana.org/assignments/media-types/application/vnd.enliven","t","f"
151,"Express by Infoseek","application/vnd.is-xpr",".xpr","http://www.iana.org/assignments/media-types/application/vnd.is-xpr","t","f"
152,"eXtended Image File Format (XIFF)","image/vnd.xiff",".xif","http://www.iana.org/assignments/media-types/image/vnd.xiff","t","f"
153,"Extensible Forms Description Language","application/vnd.xfdl",".xfdl","http://www.iana.org/assignments/media-types/application/vnd.xfdl","t","f"
154,"Extensible MultiModal Annotation","application/emma+xml",".emma","http://www.w3.org/TR/2007/CR-emma-20071211/","t","f"
155,"EZPix Secure Photo Album","application/vnd.ezpix-album",".ez2","http://www.iana.org/assignments/media-types/application/vnd.ezpix-album","t","f"
156,"EZPix Secure Photo Album","application/vnd.ezpix-package",".ez3","http://www.iana.org/assignments/media-types/application/vnd.ezpix-package","t","f"
157,"FAST Search & Transfer ASA","image/vnd.fst",".fst","http://www.ietf.org/assignments/media-types/image/vnd.fst","t","f"
158,"FAST Search & Transfer ASA","video/vnd.fvt",".fvt","http://www.iana.org/assignments/media-types/video/vnd.fvt","t","f"
159,"FastBid Sheet","image/vnd.fastbidsheet",".fbs","http://www.ietf.org/assignments/media-types/image/vnd.fastbidsheet","t","f"
160,"FCS Express Layout Link","application/vnd.denovo.fcselayout-link",".fe_launch","http://www.iana.org/assignments/media-types/application/vnd.denovo.fcselayout-link","t","f"
161,"Flash Video","video/x-f4v",".f4v","http://en.wikipedia.org/wiki/Flash_Video","t","f"
162,"Flash Video","video/x-flv",".flv","http://en.wikipedia.org/wiki/Flash_Video","t","f"
163,"FlashPix","image/vnd.fpx",".fpx","http://www.ietf.org/assignments/media-types/image/vnd.fpx","t","f"
164,"FlashPix","image/vnd.net-fpx",".npx","http://www.ietf.org/assignments/media-types/image/vnd.net-fpx","t","f"
165,"FLEXSTOR","text/vnd.fmi.flexstor",".flx","http://www.iana.org/assignments/media-types/text/vnd.fmi.flexstor","f","f"
166,"FLI/FLC Animation Format","video/x-fli",".fli","http://www.aos.wisc.edu/fli.html","t","f"
167,"FluxTime Clip","application/vnd.fluxtime.clip",".ftc","http://www.iana.org/assignments/media-types/application/vnd.fluxtime.clip","t","f"
168,"Forms Data Format","application/vnd.fdf",".fdf","http://www.iana.org/assignments/media-types/application/vnd-fdf","t","f"
169,"Fortran Source File","text/x-fortran",".f","http://en.wikipedia.org/wiki/Fortran","f","f"
170,"FrameMaker Interchange Format","application/vnd.mif",".mif","http://www.iana.org/assignments/media-types/application/vnd-mif","t","f"
171,"FrameMaker Normal Format","application/vnd.framemaker",".fm","http://www.iana.org/assignments/media-types/application/vnd.framemaker","t","f"
172,"FreeHand MX","image/x-freehand",".fh","http://en.wikipedia.org/wiki/Macromedia_FreeHand","t","f"
173,"Friendly Software Corporation","application/vnd.fsc.weblaunch",".fsc","http://www.iana.org/assignments/media-types/application/vnd.fsc.weblaunch","t","f"
174,"Frogans Player","application/vnd.frogans.fnc",".fnc","http://www.iana.org/assignments/media-types/application/vnd.frogans.fnc","t","f"
